role,skills
AI Engineer,python;machine learning;deep learning;nlp;computer vision;tensorflow;pytorch;data science
ML Engineer,python;machine learning;scikit-learn;feature engineering;model deployment;mlops
Data Scientist,python;pandas;numpy;statistics;data visualization;tableau;power bi
Backend Developer,python;django;flask;sql;rest api;database design;authentication
Full Stack Developer,react;node.js;mongodb;express;frontend;backend;javascript
Frontend Developer,html;css;javascript;react;ui ux;responsive design
DevOps Engineer,docker;kubernetes;aws;azure;ci cd;linux;monitoring
Cloud Engineer,aws;azure;cloud computing;networking;virtualization
Cybersecurity Analyst,network security;ethical hacking;penetration testing;cryptography
Mobile Developer,flutter;android;ios;dart;api integration
Data Analyst,excel;sql;tableau;power bi;data cleaning;reporting
Software Engineer,java;python;c++;oop;system design;algorithms
AI Researcher,deep learning;transformers;research;model optimization
NLP Engineer,python;nlp;bert;transformers;text processing
Computer Vision Engineer,opencv;cnn;image processing;object detection
Big Data Engineer,hadoop;spark;etl;data pipelines
Game Developer,unity;c#;game engines;physics
Embedded Engineer,c;microcontrollers;iot;real-time systems
Blockchain Developer,solidity;ethereum;web3;smart contracts
AR VR Developer,unity;unreal;3d;virtual reality
QA Engineer,testing;selenium;automation;debugging
System Administrator,linux;servers;networking;monitoring
Database Administrator,sql;indexing;optimization;performance tuning
Product Manager,product strategy;agile;roadmap;stakeholder management
UI UX Designer,figma;adobe xd;wireframes;prototyping